49.550000000,	19.470000000,	826.0
49.550000000,	19.480000000,	844.0	
49.550000000,	19.490000000,	922.0	
49.550000000,	19.500000000,	997.0	
49.550000000,	19.510000000,	1078.0	
49.550000000,	19.520000000,	1012.0	
49.550000000,	19.530000000,	1009.0	
49.550000000,	19.540000000,	962.0	
49.550000000,	19.550000000,	914.0	
49.550000000,	19.560000000,	860.0	
49.550000000,	19.570000000,	849.0	
49.555000000,	19.470000000,	907.0	
49.555000000,	19.480000000,	896.0	
49.555000000,	19.490000000,	972.0	
49.555000000,	19.500000000,	1092.0	
49.555000000,	19.510000000,	1153.0	
49.555000000,	19.520000000,	1269.0	
49.555000000,	19.530000000,	1118.0	
49.555000000,	19.540000000,	1064.0	
49.555000000,	19.550000000,	974.0	
49.555000000,	19.560000000,	906.0	
49.555000000,	19.570000000,	902.0	
49.560000000,	19.470000000,	891.0	
49.560000000,	19.480000000,	912.0	
49.560000000,	19.490000000,	1072.0	
49.560000000,	19.500000000,	1152.0	
49.560000000,	19.510000000,	1182.0	
49.560000000,	19.520000000,	1396.0	
49.560000000,	19.530000000,	1295.0	
49.560000000,	19.540000000,	1176.0	
49.560000000,	19.550000000,	1109.0	
49.560000000,	19.560000000,	997.0	
49.560000000,	19.570000000,	943.0	
49.565000000,	19.470000000,	904.0	
49.565000000,	19.480000000,	983.0	
49.565000000,	19.490000000,	1137.0	
49.565000000,	19.500000000,	1186.0	
49.565000000,	19.510000000,	1330.0	
49.565000000,	19.520000000,	1423.0	
49.565000000,	19.530000000,	1473.0	
49.565000000,	19.540000000,	1370.0	
49.565000000,	19.550000000,	1242.0	
49.565000000,	19.560000000,	1072.0	
49.565000000,	19.570000000,	1044.0	
49.570000000,	19.470000000,	998.0	
49.570000000,	19.480000000,	1091.0	
49.570000000,	19.490000000,	1234.0	
49.570000000,	19.500000000,	1223.0	
49.570000000,	19.510000000,	1453.0	
49.570000000,	19.520000000,	1553.0	
49.570000000,	19.530000000,	1641.0	
49.570000000,	19.540000000,	1527.0	
49.570000000,	19.550000000,	1417.0	
49.570000000,	19.560000000,	1266.0	
49.570000000,	19.570000000,	1126.0	
49.575000000,	19.470000000,	971.0	
49.575000000,	19.480000000,	1134.0	
49.575000000,	19.490000000,	1371.0	
49.575000000,	19.500000000,	1284.0	
49.575000000,	19.510000000,	1457.0	
49.575000000,	19.520000000,	1521.0	
49.575000000,	19.530000000,	1614.0	
49.575000000,	19.540000000,	1643.0	
49.575000000,	19.550000000,	1520.0	
49.575000000,	19.560000000,	1395.0	
49.575000000,	19.570000000,	1229.0	
49.580000000,	19.470000000,	1033.0	
49.580000000,	19.480000000,	1149.0	
49.580000000,	19.490000000,	1271.0	
49.580000000,	19.500000000,	1474.0	
49.580000000,	19.510000000,	1405.0	
49.580000000,	19.520000000,	1333.0	
49.580000000,	19.530000000,	1284.0	
49.580000000,	19.540000000,	1334.0	
49.580000000,	19.550000000,	1424.0	
49.580000000,	19.560000000,	1468.0	
49.580000000,	19.570000000,	1265.0	
49.585000000,	19.470000000,	1080.0	
49.585000000,	19.480000000,	1239.0	
49.585000000,	19.490000000,	1373.0	
49.585000000,	19.500000000,	1290.0	
49.585000000,	19.510000000,	1263.0	
49.585000000,	19.520000000,	1215.0	
49.585000000,	19.530000000,	1094.0	
49.585000000,	19.540000000,	1148.0	
49.585000000,	19.550000000,	1203.0	
49.585000000,	19.560000000,	1272.0	
49.585000000,	19.570000000,	1285.0	
49.590000000,	19.470000000,	1026.0	
49.590000000,	19.480000000,	1110.0	
49.590000000,	19.490000000,	1088.0	
49.590000000,	19.500000000,	1058.0	
49.590000000,	19.510000000,	1076.0	
49.590000000,	19.520000000,	1139.0	
49.590000000,	19.530000000,	1000.0	
49.590000000,	19.540000000,	1017.0	
49.590000000,	19.550000000,	1042.0	
49.590000000,	19.560000000,	1099.0	
49.590000000,	19.570000000,	1094.0	
49.595000000,	19.470000000,	1013.0	
49.595000000,	19.480000000,	975.0	
49.595000000,	19.490000000,	938.0	
49.595000000,	19.500000000,	946.0	
49.595000000,	19.510000000,	957.0	
49.595000000,	19.520000000,	959.0	
49.595000000,	19.530000000,	924.0	
49.595000000,	19.540000000,	869.0	
49.595000000,	19.550000000,	915.0	
49.595000000,	19.560000000,	931.0	
49.595000000,	19.570000000,	912.0	
49.600000000,	19.470000000,	1013.0	
49.600000000,	19.480000000,	894.0	
49.600000000,	19.490000000,	863.0	
49.600000000,	19.500000000,	862.0	
49.600000000,	19.510000000,	812.0	
49.600000000,	19.520000000,	828.0	
49.600000000,	19.530000000,	819.0	
49.600000000,	19.540000000,	833.0	
49.600000000,	19.550000000,	843.0	
49.600000000,	19.560000000,	874.0	
49.600000000,	19.570000000,	816.0	
